epoch,accuracy,loss,val_accuracy,val_loss
0,0.51416665,1.260383930206299,0.6733333468437195,0.5070709586143494
1,0.7325,0.6681048464775086,0.6399999856948853,1.1198703050613403
2,0.7558333,0.5889319729804993,0.70333331823349,0.5883578658103943
3,0.7816667,0.5453462775548299,0.7233333587646484,1.326038122177124
4,0.79083335,0.4956860665480296,0.6700000166893005,0.5097095966339111
5,0.7891667,0.5024067163467407,0.6633333563804626,0.893671989440918
6,0.8025,0.5020555373032888,0.7233333587646484,0.5105693936347961
7,0.7991667,0.48105905214945477,0.6433333158493042,0.39808157086372375
8,0.79,0.49746423165003456,0.6733333468437195,0.5278974175453186
9,0.8,0.47939877390861513,0.6100000143051147,0.7670597434043884
0,0.83166665,0.41385520855585733,0.6666666865348816,0.676238477230072
1,0.86333334,0.34152384599049884,0.70333331823349,0.9369236826896667
2,0.86083335,0.330549076795578,0.70333331823349,0.867210328578949
